Function,Best Solution,Best Fitness,Execution Time,Step Size,Domain,Iterations,Result,Domain_left,Domain_right,Domain_range,Domain_quantile,Step_Size_quantile
himmelblau,"[1.2183, 1.2183]",87.31394,0.001,0.8,"[-0.3218, 1.2183]",52,bad,-0.3218,1.2183,1.5400999999999998,0,6
himmelblau,"[-1.7878, 3.0904]",22.7968,0.004,0.4,"[-1.7878, 3.1069]",152,bad,-1.7878,3.1069,4.8947,7,2
himmelblau,"[-2.8085, 3.1286]",0.00067,0.001,1.0,"[-4.2673, 4.6777]",34,good,-4.2673,4.6777,8.945,14,8
himmelblau,"[-2.2147, -2.2147]",87.63125,0.0,0.4,"[-2.2147, 0.0201]",53,bad,-2.2147,0.0201,2.2348,1,2
himmelblau,"[-1.8929, -1.8929]",114.86794,0.001,0.4,"[-1.8929, 0.1048]",53,bad,-1.8929,0.1048,1.9977,1,2
himmelblau,"[-2.8027, 3.1341]",0.00051,0.001,0.7,"[-3.4413, 3.1678]",35,good,-3.4413,3.1678,6.6091,10,5
himmelblau,"[3.003, 2.002]",0.00053,0.001,0.1,"[-0.4351, 3.2975]",28,good,-0.4351,3.2975,3.7325999999999997,4,0
himmelblau,"[2.7021, 2.1576]",2.50304,0.0036,0.1,"[-0.3517, 2.7021]",163,bad,-0.3517,2.7021,3.0538000000000003,2,0
himmelblau,"[1.8404, 1.8404]",36.4628,0.001,0.3,"[-2.3683, 1.8404]",55,bad,-2.3683,1.8404,4.2087,5,1
himmelblau,"[0.3989, 0.3989]",150.53199,0.001,0.5,"[-3.5917, 0.3989]",52,bad,-3.5917,0.3989,3.9905999999999997,4,3
himmelblau,"[-3.7823, -3.2816]",0.00076,0.0015,0.5,"[-4.3502, 2.9242]",36,good,-4.3502,2.9242,7.2744,12,3
himmelblau,"[-3.7829, -3.2866]",0.0009,0.001,0.1,"[-4.4136, 3.7136]",41,good,-4.4136,3.7136,8.1272,13,0
himmelblau,"[-2.6997, 3.1105]",0.36233,0.0021,0.1,"[-2.6997, 3.1105]",58,bad,-2.6997,3.1105,5.8102,9,0
himmelblau,"[2.9972, 2.0032]",0.00028,0.0,1.0,"[-0.1312, 3.3218]",22,good,-0.1312,3.3218,3.4530000000000003,3,8
himmelblau,"[1.6677, 1.6677]",49.42349,0.0015,0.1,"[-0.6666, 1.6677]",53,bad,-0.6666,1.6677,2.3343,1,0
himmelblau,"[-2.02, 3.104]",14.9382,0.003,0.2,"[-2.02, 3.8906]",162,bad,-2.02,3.8906,5.9106000000000005,9,0
himmelblau,"[2.7361, 2.1411]",1.98723,0.004,0.5,"[-1.1754, 2.7361]",198,bad,-1.1754,2.7361,3.9115,4,3
himmelblau,"[0.8646, 0.8646]",117.15902,0.001,0.2,"[-1.3622, 0.8646]",54,bad,-1.3622,0.8646,2.2268,1,0
himmelblau,"[-3.7802, -3.2837]",4e-05,0.001,0.4,"[-4.734, 2.4064]",35,good,-4.734,2.4064,7.1404,12,2
himmelblau,"[-3.7767, -3.2806]",0.00049,0.001,0.3,"[-4.0922, 0.3717]",35,good,-4.0922,0.3717,4.4639,6,1
himmelblau,"[-3.7819, -3.2804]",0.00093,0.0,0.2,"[-4.6702, 1.0828]",24,good,-4.6702,1.0828,5.753,8,0
himmelblau,"[2.9994, 1.9996]",2e-05,0.0005,0.6,"[-0.9109, 4.2625]",37,good,-0.9109,4.2625,5.1734,7,4
three_hump_camel,"[0.0041, -0.0081]",7e-05,0.001,0.5,"[-0.7015, 3.0627]",25,good,-0.7015,3.0627,3.7641999999999998,4,3
three_hump_camel,"[-0.0173, 0.0063]",0.00053,0.0,1.0,"[-1.3261, 1.6283]",22,good,-1.3261,1.6283,2.9544,2,8
three_hump_camel,"[0.022, -0.0007]",0.00095,0.001,0.7,"[-3.5392, 3.8826]",24,good,-3.5392,3.8826,7.4218,12,5
three_hump_camel,"[-0.0194, 0.0009]",0.00074,0.001,0.9,"[-1.4083, 4.9953]",15,good,-1.4083,4.9953,6.403600000000001,10,7
three_hump_camel,"[0.0066, -0.0073]",9e-05,0.0,0.5,"[-2.8625, 0.8275]",15,good,-2.8625,0.8275,3.69,3,3
three_hump_camel,"[1.7476, -0.8738]",0.29864,0.0077,0.1,"[-1.6125, 4.6425]",158,bad,-1.6125,4.6425,6.255,9,0
three_hump_camel,"[1.7297, -0.6668]",0.33967,0.004,0.3,"[-0.6668, 2.3164]",188,bad,-0.6668,2.3164,2.9831999999999996,2,1
three_hump_camel,"[0.0148, -0.0085]",0.00038,0.001,0.6,"[-4.6339, 1.365]",24,good,-4.6339,1.365,5.9989,9,4
three_hump_camel,"[-1.6676, 0.0896]",0.88469,0.0046,0.4,"[-4.0133, 0.0896]",215,bad,-4.0133,0.0896,4.1029,5,2
three_hump_camel,"[-0.0205, -0.0047]",0.00096,0.0,0.5,"[-1.7999, 0.7708]",15,good,-1.7999,0.7708,2.5707,2,3
three_hump_camel,"[0.0131, -0.0055]",0.0003,0.0,0.3,"[-4.3767, 1.9907]",25,good,-4.3767,1.9907,6.3674,10,1
three_hump_camel,"[-0.0111, -0.001]",0.00026,0.0,1.0,"[-2.761, 0.2222]",22,good,-2.761,0.2222,2.9832,2,8
three_hump_camel,"[0.0147, 0.0124]",0.00077,0.001,0.5,"[-2.5748, 0.6827]",16,good,-2.5748,0.6827,3.2575000000000003,3,3
three_hump_camel,"[1.2861, -0.6431]",0.77611,0.003,0.1,"[-2.0825, 1.2861]",150,bad,-2.0825,1.2861,3.3686,3,0
